Date,Total_Inbound,Total_Outbound
1/8/2021 0:05,1.21E+11,4.06E+11
1/8/2021 0:10,1.19E+11,4.01E+11
1/8/2021 0:15,1.19E+11,3.95E+11
1/8/2021 0:20,1.17E+11,3.88E+11
1/8/2021 0:25,1.16E+11,3.85E+11
1/8/2021 0:30,1.12E+11,3.81E+11
1/8/2021 0:35,1.12E+11,3.77E+11
1/8/2021 0:40,1.10E+11,3.71E+11
1/8/2021 0:45,1.09E+11,3.58E+11
1/8/2021 0:50,1.07E+11,3.54E+11
1/8/2021 0:55,1.07E+11,3.44E+11
1/8/2021 1:00,1.04E+11,3.40E+11
1/8/2021 1:05,1.02E+11,3.39E+11
1/8/2021 1:10,1.02E+11,3.39E+11
1/8/2021 1:15,9.94E+10,3.36E+11
1/8/2021 1:20,1.01E+11,3.28E+11
1/8/2021 1:25,9.87E+10,3.22E+11
1/8/2021 1:30,9.72E+10,3.14E+11
1/8/2021 1:35,9.47E+10,3.08E+11
1/8/2021 1:40,9.27E+10,3.03E+11
1/8/2021 1:45,9.12E+10,2.97E+11
1/8/2021 1:50,9.06E+10,2.97E+11
1/8/2021 1:55,8.54E+10,2.89E+11
1/8/2021 2:00,8.49E+10,2.84E+11
1/8/2021 2:05,8.32E+10,2.85E+11
1/8/2021 2:10,8.20E+10,2.75E+11
1/8/2021 2:15,8.13E+10,2.70E+11
1/8/2021 2:20,7.79E+10,2.62E+11
1/8/2021 2:25,7.73E+10,2.57E+11
1/8/2021 2:30,7.58E+10,2.52E+11
1/8/2021 2:35,7.43E+10,2.48E+11
1/8/2021 2:40,7.27E+10,2.46E+11
1/8/2021 2:45,7.06E+10,2.40E+11
1/8/2021 2:50,6.94E+10,2.36E+11
1/8/2021 2:55,6.89E+10,2.29E+11
1/8/2021 3:00,6.70E+10,2.23E+11
1/8/2021 3:05,6.59E+10,2.18E+11
1/8/2021 3:10,6.50E+10,2.14E+11
1/8/2021 3:15,6.30E+10,2.09E+11
1/8/2021 3:20,6.27E+10,2.07E+11
1/8/2021 3:25,6.22E+10,2.03E+11
1/8/2021 3:30,6.11E+10,2.00E+11
1/8/2021 3:35,6.00E+10,1.97E+11
1/8/2021 3:40,5.92E+10,1.90E+11
1/8/2021 3:45,5.67E+10,1.84E+11
1/8/2021 3:50,5.52E+10,1.82E+11
1/8/2021 3:55,5.53E+10,1.76E+11
1/8/2021 4:00,5.33E+10,1.73E+11
1/8/2021 4:05,5.35E+10,1.73E+11
1/8/2021 4:10,5.18E+10,1.67E+11
1/8/2021 4:15,5.09E+10,1.64E+11
1/8/2021 4:20,5.07E+10,1.61E+11
1/8/2021 4:25,4.86E+10,1.61E+11
1/8/2021 4:30,4.88E+10,1.58E+11
1/8/2021 4:35,4.76E+10,1.55E+11
1/8/2021 4:40,4.68E+10,1.53E+11
1/8/2021 4:45,4.69E+10,1.52E+11
1/8/2021 4:50,4.62E+10,1.51E+11
1/8/2021 4:55,4.67E+10,1.50E+11
1/8/2021 5:00,4.66E+10,1.49E+11
1/8/2021 5:05,4.67E+10,1.54E+11
1/8/2021 5:10,4.70E+10,1.51E+11
1/8/2021 5:15,4.67E+10,1.49E+11
1/8/2021 5:20,4.64E+10,1.47E+11
1/8/2021 5:25,4.56E+10,1.46E+11
1/8/2021 5:30,4.60E+10,1.47E+11
1/8/2021 5:35,4.49E+10,1.48E+11
1/8/2021 5:40,4.54E+10,1.48E+11
1/8/2021 5:45,4.56E+10,1.49E+11
1/8/2021 5:50,4.50E+10,1.48E+11
1/8/2021 5:55,4.42E+10,1.50E+11
1/8/2021 6:00,4.47E+10,1.52E+11
1/8/2021 6:05,4.69E+10,1.60E+11
1/8/2021 6:10,4.72E+10,1.58E+11
1/8/2021 6:15,4.70E+10,1.59E+11
1/8/2021 6:20,4.81E+10,1.61E+11
1/8/2021 6:25,4.78E+10,1.63E+11
1/8/2021 6:30,4.91E+10,1.65E+11
