Date,Total_Inbound,Total_Outbound
01-08-2021 00:05:00,121000000000.00,406000000000.00
01-08-2021 00:10:00,119000000000.00,401000000000.00
01-08-2021 00:15:00,119000000000.00,395000000000.00
01-08-2021 00:20:00,117000000000.00,388000000000.00
01-08-2021 00:25:00,116000000000.00,385000000000.00
01-08-2021 00:30:00,112000000000.00,381000000000.00
01-08-2021 00:35:00,112000000000.00,377000000000.00
01-08-2021 00:40:00,110000000000.00,371000000000.00
01-08-2021 00:45:00,109000000000.00,358000000000.00
01-08-2021 00:50:00,107000000000.00,354000000000.00
01-08-2021 00:55:00,107000000000.00,344000000000.00
01-08-2021 01:00:00,104000000000.00,340000000000.00
01-08-2021 01:05:00,102000000000.00,339000000000.00
01-08-2021 01:10:00,102000000000.00,339000000000.00
01-08-2021 01:15:00,99400000000.00,336000000000.00
01-08-2021 01:20:00,101000000000.00,328000000000.00
01-08-2021 01:25:00,98700000000.00,322000000000.00
01-08-2021 01:30:00,97200000000.00,314000000000.00
01-08-2021 01:35:00,94700000000.00,308000000000.00
01-08-2021 01:40:00,92700000000.00,303000000000.00
01-08-2021 01:45:00,91200000000.00,297000000000.00
01-08-2021 01:50:00,90600000000.00,297000000000.00
01-08-2021 01:55:00,85400000000.00,289000000000.00
01-08-2021 02:00:00,84900000000.00,284000000000.00
01-08-2021 02:05:00,83200000000.00,285000000000.00
01-08-2021 02:10:00,82000000000.00,275000000000.00
01-08-2021 02:15:00,81300000000.00,270000000000.00
01-08-2021 02:20:00,77900000000.00,262000000000.00
01-08-2021 02:25:00,77300000000.00,257000000000.00
01-08-2021 02:30:00,75800000000.00,252000000000.00
01-08-2021 02:35:00,74300000000.00,248000000000.00
01-08-2021 02:40:00,72700000000.00,246000000000.00
01-08-2021 02:45:00,70600000000.00,240000000000.00
01-08-2021 02:50:00,69400000000.00,236000000000.00
01-08-2021 02:55:00,68900000000.00,229000000000.00
01-08-2021 03:00:00,67000000000.00,223000000000.00
01-08-2021 03:05:00,65900000000.00,218000000000.00
01-08-2021 03:10:00,65000000000.00,214000000000.00
01-08-2021 03:15:00,63000000000.00,209000000000.00
