date_time,total_inbound,total_outbound
NULL,281490620416.0,1130237394944.0
NULL,271385346048.0,1098902929408.0
NULL,265774497792.0,1071937355776.0
NULL,257402929152.0,1048631508992.0
NULL,250649968640.0,1021198336000.0
NULL,246496264192.0,999422754816.0
NULL,236815728640.0,956686532608.0
NULL,233221505024.0,937613787136.0
NULL,226859204608.0,913613914112.0
NULL,222149656576.0,891741208576.0
NULL,216962072576.0,867090104320.0
NULL,213810495488.0,844019007488.0
NULL,208840704000.0,836615077888.0
NULL,204560154624.0,824113758208.0
NULL,201271640064.0,802365964288.0
NULL,197412929536.0,786080661504.0
NULL,192475267072.0,764777660416.0
NULL,188737191936.0,747272011776.0
NULL,183894097920.0,730480377856.0
NULL,181107949568.0,720919920640.0
NULL,175865315328.0,696157077504.0
NULL,173773144064.0,690143297536.0
NULL,172004098048.0,673019133952.0
NULL,168073969664.0,656677601280.0
NULL,165767938048.0,660040581120.0
NULL,160617218048.0,654344388608.0
NULL,156557705216.0,637837967360.0
NULL,153631539200.0,626893389824.0
NULL,150752051200.0,610606972928.0
NULL,148063879168.0,596195475456.0
NULL,146684248064.0,585464610816.0
NULL,143502524416.0,578485223424.0
NULL,138605477888.0,560808984576.0
NULL,137746120704.0,549477285888.0
NULL,135065190400.0,539863351296.0
NULL,131861528576.0,534682402816.0
NULL,130339463168.0,528196632576.0
NULL,129703059456.0,516207247360.0
NULL,125969932288.0,504800772096.0
NULL,122756603904.0,488919334912.0
NULL,121125257216.0,482370453504.0
NULL,97340784640.0,390889930752.0
NULL,98476384256.0,392735162368.0
NULL,122687250432.0,465074749440.0
NULL,120279441408.0,457399697408.0
NULL,118400040960.0,448474677248.0
NULL,114536480768.0,445614489600.0
NULL,109426966528.0,436420214784.0
NULL,108347596800.0,427984257024.0
NULL,107730190336.0,425253797888.0
NULL,106427367424.0,419324854272.0
NULL,104802279424.0,417867759616.0
NULL,103802748928.0,409165070336.0
NULL,103172792320.0,403618070528.0
NULL,103674593280.0,400170221568.0
NULL,102991396864.0,396196544512.0
NULL,102979338240.0,397894189056.0
NULL,101532278784.0,398005633024.0
NULL,101124407296.0,395979882496.0
NULL,100968595456.0,404322975744.0
NULL,102576521216.0,425885302784.0
NULL,104477974528.0,425688399872.0
NULL,106070761472.0,425938812928.0
NULL,104962457600.0,430367178752.0
NULL,104852488192.0,433001234432.0
NULL,105772630016.0,445261447168.0
NULL,107625824256.0,452824367104.0
NULL,108466225152.0,457265905664.0
NULL,109835059200.0,470519808000.0
NULL,111293161472.0,477494214656.0
NULL,113076051968.0,488064778240.0
NULL,114664062976.0,503233282048.0
NULL,123219746816.0,541442867200.0
NULL,126412955648.0,545403568128.0
NULL,127342526464.0,555375132672.0
NULL,132178796544.0,574873141248.0
NULL,134808764416.0,590268792832.0
NULL,138631364608.0,602268499968.0
NULL,145304797184.0,606866833408.0
NULL,147494944768.0,605487300608.0
NULL,148717420544.0,616046788608.0
